QAN,QualificationTitle,AwardingOrganisation,QualificationLevel,QualificationType,SSA,OfferedInEngland,FundedInEngland,GLH,TQT,Pre16,Age16To18,Age18Plus,Age19Plus,FundingStreamName,FundingApprovalStartDate,ProposedOutcome,RolloverStatus,ExclusionReason,OperationalEndDate,PLDNS,CurrentFundingApprovalEndDate,ProposedFundingApprovalEndDate,Comments
60365857,AIM Qualifications Level 1 Award in Computing and Information Security,AIM Qualifications,Level 1,Other Vocational Qualification,Digital technology (practitioners),True,True,60,100,True,True,True,True,Age1619,2020/08/30,Extended,Extended,,,,2027/07/31,2028/07/31,
60365870,AIM Qualifications Level 1 Extended Diploma in Computing and Information Security,AIM Qualifications,Level 1,Other Vocational Qualification,Digital technology (practitioners),True,True,360,600,True,True,True,True,LocalFlexibilities,2020/08/30,Extended,Extended,,,,2027/07/31,2028/07/31,
60365870,AIM Qualifications Level 1 Extended Diploma in Computing and Information Security,AIM Qualifications,Level 1,Other Vocational Qualification,Digital technology (practitioners),True,True,360,600,True,True,True,True,Age1416,2020/08/30,Extended,Extended,,,,2027/07/31,2028/07/31,
60365870,AIM Qualifications Level 1 Extended Diploma in Computing and Information Security,AIM Qualifications,Level 1,Other Vocational Qualification,Digital technology (practitioners),True,True,360,600,True,True,True,True,Age1619,2020/08/30,Extended,Extended,,,,2027/07/31,2028/07/31,
60365882,TQUK Level 2 Certificate for Well-being and Activity Provision in Care (RQF),Training Qualifications UK Ltd,Level 2,Vocationally-Related Qualification,Health and social care,True,True,260,350,False,True,True,True,Age1619,2020/08/31,Extended,Extended,,,,2027/07/31,2028/07/31,
60365882,TQUK Level 2 Certificate for Well-being and Activity Provision in Care (RQF),Training Qualifications UK Ltd,Level 2,Vocationally-Related Qualification,Health and social care,True,True,260,350,False,True,True,True,LocalFlexibilities,2020/08/31,Extended,Extended,,,,2027/07/31,2028/07/31,
60365900,City & Guilds Level 3 Certificate in Inspecting Licensable Activities Involving Animals,City & Guilds Limited,Level 3,Vocationally-Related Qualification,Animal care and veterinary science,True,True,38,283,False,False,True,True,Age1619,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365936,CTH Level 3 Foundation Diploma in Hospitality &Tourism,Confederation of Tourism and Hospitality,Level 3,Vocationally-Related Qualification,Hospitality and catering,True,True,650,1300,True,True,True,True,Age1416,2020/08/31,Extended,Extended,,,,2027/07/31,2028/07/31,
60365936,CTH Level 3 Foundation Diploma in Hospitality &Tourism,Confederation of Tourism and Hospitality,Level 3,Vocationally-Related Qualification,Hospitality and catering,True,True,650,1300,True,True,True,True,Age1619,2020/08/31,Extended,Extended,,,,2027/07/31,2028/07/31,
60365936,CTH Level 3 Foundation Diploma in Hospitality &Tourism,Confederation of Tourism and Hospitality,Level 3,Vocationally-Related Qualification,Hospitality and catering,True,True,650,1300,True,True,True,True,AdvancedLearnerLoans,2023/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365936,CTH Level 3 Foundation Diploma in Hospitality &Tourism,Confederation of Tourism and Hospitality,Level 3,Vocationally-Related Qualification,Hospitality and catering,True,True,650,1300,True,True,True,True,LegalEntitlementL2L3,2026/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365948,CTH Level 3 Diploma in Professional Cookery - Confectionery & Patisserie,Confederation of Tourism and Hospitality,Level 3,Occupational Qualification,Hospitality and catering,True,True,420,500,True,True,True,True,Age1619,2023/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365948,CTH Level 3 Diploma in Professional Cookery - Confectionery & Patisserie,Confederation of Tourism and Hospitality,Level 3,Occupational Qualification,Hospitality and catering,True,True,420,500,True,True,True,True,LegalEntitlementL2L3,2026/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365948,CTH Level 3 Diploma in Professional Cookery - Confectionery & Patisserie,Confederation of Tourism and Hospitality,Level 3,Occupational Qualification,Hospitality and catering,True,True,420,500,True,True,True,True,AdvancedLearnerLoans,2023/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
